,Image,Accuracy,Dice Coefficient,IoU,Recall,Precision
0,img\0.jpg,0.994232177734375,0.8100502512562814,0.6807432432432432,0.7254725472547254,0.9169510807736063
1,img\1.jpg,0.9811248779296875,0.6206685065930696,0.449977767896843,0.4568848758465011,0.9674952198852772
2,img\2.jpg,0.99755859375,0.896774193548387,0.8128654970760234,0.8709273182957393,0.9242021276595744
3,img\3.jpg,0.983123779296875,0.6737463126843658,0.5080071174377224,0.5277264325323475,0.9314845024469821
4,img\4.jpg,0.991851806640625,0.8174982911825017,0.6913294797687861,0.7035294117647058,0.9755301794453507
5,img\5.jpg,0.893035888671875,0.2653531754349193,0.15297245045915903,0.15332445198013805,0.9852140077821012
6,img\6.jpg,0.9766082763671875,0.6510357386751651,0.4826189672629092,0.4857336956521739,0.9868875086266391
7,img\7.jpg,0.99322509765625,0.8716763005780346,0.7725409836065574,0.7825635703165542,0.9836921069797782
8,img\8.jpg,0.9644012451171875,0.6032987587145043,0.431945458972486,0.43651574803149606,0.9763346175013758
9,img\9.jpg,0.9744110107421875,0.6196416420957133,0.44889911271771277,0.45037916254533467,0.9927325581395349
10,img\10.jpg,0.98602294921875,0.7681012658227848,0.6235100698725853,0.6286779941980937,0.9869876382563435
11,img\11.jpg,0.972259521484375,0.6009657594381036,0.4295575776592407,0.43295382669196714,0.9820659971305595
12,img\12.jpg,0.992645263671875,0.8217455621301775,0.6974262397991211,0.7031645569620253,0.9884341637010676
13,img\13.jpg,0.970458984375,0.5645524066576698,0.39329363835788156,0.3972776194998417,0.9751359751359752
14,img\14.jpg,0.9922332763671875,0.8092918696140877,0.6796727501573316,0.6857142857142857,0.9872029250457038
15,img\15.jpg,0.9933929443359375,0.8374014269620729,0.7202842377260982,0.7244964262508122,0.9919928825622776
16,img\16.jpg,0.9921722412109375,0.8053130929791271,0.6740787801778907,0.677522349936143,0.9925163704396632
17,img\17.jpg,0.931427001953125,0.3835390946502058,0.23727087576374745,0.23767426045562734,0.9928977272727273
18,img\18.jpg,0.9884185791015625,0.7624413145539907,0.6160849772382397,0.6265432098765432,0.973621103117506
19,img\19.jpg,0.97491455078125,0.6187384044526901,0.44795164539959703,0.4515910629654705,0.9823269513991163
20,img\20.jpg,0.987213134765625,0.7134062927496579,0.5544922913343966,0.5592493297587131,0.9848914069877243
21,img\21.jpg,0.986114501953125,0.7072072072072072,0.5470383275261324,0.55005005005005,0.9900900900900901
22,img\22.jpg,0.9834747314453125,0.7138705416116248,0.5550534100246508,0.5605809128630705,0.9825454545454545
23,img\23.jpg,0.9937896728515625,0.8003923491907798,0.6672117743254292,0.688026981450253,0.9566236811254396
24,img\24.jpg,0.9937896728515625,0.7905301080802881,0.6536170212765957,0.6730937773882559,0.9576059850374065
25,img\25.jpg,0.9941253662109375,0.817102137767221,0.6907630522088354,0.7319148936170212,0.9247311827956989
26,img\26.jpg,0.99432373046875,0.8058455114822547,0.6748251748251748,0.7030965391621129,0.9437652811735942
27,img\27.jpg,0.9962005615234375,0.8419047619047619,0.7269736842105263,0.796875,0.892328398384926
28,img\28.jpg,0.995513916015625,0.8073394495412843,0.676923076923077,0.7213114754098361,0.9166666666666666
29,img\29.jpg,0.9971466064453125,0.8695045359385905,0.7691358024691358,0.8328877005347594,0.9094890510948905
30,img\30.jpg,0.99517822265625,0.7666174298375185,0.6215568862275449,0.6544766708701135,0.9251336898395722
31,img\31.jpg,0.9935150146484375,0.7600225861095427,0.6129326047358834,0.6637080867850098,0.8890356671070013
32,img\32.jpg,0.987945556640625,0.6937984496124031,0.5311572700296736,0.5528103767757875,0.931321540062435
33,img\33.jpg,0.9947052001953125,0.8149333333333334,0.6876687668766877,0.7248576850094877,0.9305724725943971
34,img\34.jpg,0.984405517578125,0.5705882352941177,0.3991769547325103,0.429746835443038,0.84875
35,img\35.jpg,0.9962310791015625,0.872746007212777,0.7742230347349177,0.8461538461538461,0.9010638297872341
36,img\36.jpg,0.995086669921875,0.8491096532333645,0.737785016286645,0.7475247524752475,0.982646420824295
37,img\37.jpg,0.9921722412109375,0.801085692128732,0.6681759379042691,0.6845593108018555,0.9654205607476636
38,img\38.jpg,0.9943695068359375,0.8270042194092826,0.7050359712230215,0.7170731707317073,0.9767441860465116
39,img\39.jpg,0.988922119140625,0.7330882352941176,0.5786419036564132,0.5952238805970149,0.9540669856459331
40,img\40.jpg,0.988800048828125,0.7694723618090452,0.6253190403266973,0.6437204414083026,0.9562841530054644
41,img\41.jpg,0.9879608154296875,0.7285861713106294,0.573051948051948,0.5771117166212534,0.9878731343283582
42,img\42.jpg,0.991973876953125,0.8073260073260073,0.6769041769041769,0.6853233830845771,0.982174688057041
43,img\43.jpg,0.9896392822265625,0.6934537246049661,0.5307532826537664,0.5446808510638298,0.9540372670807453
44,img\44.jpg,0.9901275634765625,0.7747998607727115,0.6323863636363637,0.6786585365853659,0.902676399026764
45,img\45.jpg,0.994140625,0.8126829268292683,0.6844700082169268,0.7174849267872524,0.937007874015748
46,img\46.jpg,0.9966278076171875,0.8533510285335102,0.7442129629629629,0.8494055482166446,0.8573333333333333
47,img\47.jpg,0.9964447021484375,0.8626988803771362,0.7585492227979275,0.8026315789473685,0.932484076433121
48,img\48.jpg,0.994476318359375,0.838967971530249,0.7226053639846743,0.8457399103139014,0.8323036187113857
49,img\49.jpg,0.9925689697265625,0.7699574870099196,0.6259600614439325,0.6724422442244224,0.9005524861878453
